commit	time_us	status	description
4cece20	665	keep	BitReader.skip_bits() avoids redundant fill_buffer after peek. HuffmanTable uses Box<[LookupEntry;256]> instead of Vec. #[inline(always)] on lookup, #[cold] on slow path, start slow path at min_slow_length. Branchless extend(). Eliminated format!() in error paths.
384673f	596	keep	Fast-path read_bits: skip fill_buffer when bits_left >= count (common after peek+skip). Saves one comparison per read_bits call.
03365ee	435	keep	Infallible BitReader: peek_bits/read_bits return u16 directly (no Result wrapping). EOF returns 0. Eliminates 2 error-path branches per AC coefficient decode iteration. Also #[inline(never)] on lookup_slow.
uncommitted	435	discard	Attempted fast 4-byte bulk fill in BitReader (check 4 bytes for 0xFF, load all at once if clean). No improvement — branch predictor already handles per-byte 0xFF check well. Reverted.
bd24482	421	keep	9-bit Huffman fast-lookup table (512 entries, was 256). Catches more AC codes on fast path. 10-bit tested but worse (1024 entries hurts L1 cache).
fbf4133	414	keep	Infallible lookup_fast() for AC decode: returns raw (u8,u8) tuple, no Result. AC loop uses it for fast path, falls back to lookup() for long codes. Eliminates Result discriminant from hot inner loop. DC fast-path tested but HURT perf (code layout change confused branch predictor) — kept DC using lookup().
5760bf6	393	keep	Combined Huffman+extra_bits decode: extract extra magnitude bits directly from the 16-bit peek value instead of separate read_bits() call. Eliminates one fill_buffer branch check + bit extraction per coefficient. Also unsafe get_unchecked for ZIGZAG_ORDER/coeffs in AC fast path. DC also uses combined path with lookup_fast. Falls back to separate read when code_len+bit_size > 16.
3b4b12a	346/11909	keep	Aggressive bit buffer fill: raise min fill from 25 to 56 bits. Each fill loads ~7 bytes so ~3 AC coefficients decode before next refill. Photo 1080p: 12914→11909 µs (−8%). Gradient 640×480: same. Huge win for high-entropy because each AC coeff consumed up to 19 bits, leaving only 6 — always triggering refill at threshold 25.
d40302e	354/11411	keep	Remove combined-peek branch: the total<=16 check for extracting extra bits from peek was an extra branch per coefficient. Since fill guarantees ≥56 bits, simple skip_bits+read_bits never refills — the branch was pure overhead. Also #[inline(always)] on decode_block (was function call per block). Photo 1080p: 11878→11411 (−3.9%), now faster than C 11474.
uncommitted	129400/109500	discard	Issue #308 ask: runtime BMI1+BMI2+LZCNT #[target_feature] clone of the baseline coefficient-decode MCU loop (pattern of encode_ac_x86_64_bmi1_lzcnt), dispatched via is_x86_feature_detected. Measured on 24MP transform read_coefficients, Zen 4: clone 129.4ms vs inline generic 109.5ms — 18% SLOWER. Control test proved causality: an identical clone with NO target features also measured 127.7ms, so the entire regression is outlining/register-allocation (bits_left spilled to stack in the standalone fn, stays in %r8 when inlined into read_coefficients), and the BMI/LZCNT features contribute ~0 — the decoder has no lzcnt-shaped computation (code lengths come from table lookups; shifts are already 1-cycle). Unlike encode, where lzcnt maps directly to magnitude-category computation. Full -C target-cpu=native build buys only ~3-5% on this loop (tune/scheduling, not features). Conclusion: no BMI fast path for decode; portable scalar is the right shape.
